id,{,},CreaVentana,(,",",num,),;,CreaLabel,CreaBoton,CreaTextbox,CreaEvento,Main,if,else,repeat,until,:=,while,switch,case,break,default,for,=,:,CierraVentana,LeeTextBox,Loop,ImprimeTextBox,Concat,Mbox,==,>,<,>=,<=,!=,+,-,int,float,string,vent,textBox,label,boton,^,*,/,$,programa',programa,estructura,def,def-func,def-vent,def-ctrl,crea-control,def-evnt,def-main,secuencia-sent,sentencia,sent-if,sent-repeat,sent-assign,sent-while,sent-switch,secuencia-case,sentencia-case,sentencia-default,sent-for,sent-func,sent-declara,identificadores,exp,op-comparacion,exp-simple,opsuma,tipo,term,potencia,opmult,factor,const,variable
 , , , ,s75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76, , , , , , , , , , , 
 , , , ,s77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , ,s78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r46,r46,r46,r46,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s38, ,s80,s48, , , , , ,s50,s53,s54,s51, ,s36, ,s37, , ,s39,s40, , , ,s41, , ,s42,s43,s44,s45,s46,s47, , , , , , , , ,s9,s10,s11,s12,s13,s14,s15, , , , , , , , , ,32,33,49,34, , ,59,25,26,27,28,29, , , ,30,31,35, , , , , ,52, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
r15, ,r15,r15, , , , , ,r15,r15,r15,r15, ,r15, ,r15, , ,r15,r15, , , ,r15, , ,r15,r15,r15,r15,r15,r15, , , , , , , , ,r15,r15,r15,r15,r15,r15,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s88, , , ,s86, ,s87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81, ,82, , ,83,84, ,85, , 
s38, , ,s48, , , , , ,s50,s53,s54,s51, ,s36, ,s37, , ,s39,s40, , , ,s41, , ,s42,s43,s44,s45,s46,s47, , , , , , , , ,s9,s10,s11,s12,s13,s14,s15, , , , , , , , , ,32,33,49,34, ,89,24,25,26,27,28,29, , , ,30,31,35, , , , , ,52, , , , , , 
s97, , , ,s95, ,s96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90, ,91, , ,92,93, ,94, , 
 , , , , , , ,s98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s88, , , ,s86, ,s87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,99, ,82, , ,83,84, ,85, , 
s101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,100
s102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s106, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s108, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s56, , ,s112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s114, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,r47, , ,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r7,r7,r7,r7,r7,r7,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , ,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , ,r50, , , , , , , , , , , , , , , , , , , , , , , , , ,s118,s119,s120,s121,s122,s123,s124,s125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,116, ,117, , , , , , , 
 , , , , , , ,r58, , , , , , , , , , , , , , , , , , , , , , , , , ,r58,r58,r58,r58,r58,r58,r58,r58, , , , , , , , ,s127,s128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,126, , , 
 , , , , , , ,r69, , , , , , , , , , , , , , , , , , , , , , , , , ,r69,r69,r69,r69,r69,r69,r69,r69, , , , , , , ,s129,r69,r69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , ,r71, , , , , , , , , , , , , , , , , , , , , , , , , ,r71,r71,r71,r71,r71,r71,r71,r71, , , , , , , ,r71,r71,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s88, , , ,s86, ,s87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130, ,82, , ,83,84, ,85, , 
 , , , , , , ,r75, , , , , , , , , , , , , , , , , , , , , , , , , ,r75,r75,r75,r75,r75,r75,r75,r75, , , , , , , ,r75,r75,r75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , ,r76, , , , , , , , , , , , , , , , , , , , , , , , , ,r76,r76,r76,r76,r76,r76,r76,r76, , , , , , , ,r76,r76,r76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s38, ,s131,s48, , , , , ,s50,s53,s54,s51, ,s36, ,s37, , ,s39,s40, , , ,s41, , ,s42,s43,s44,s45,s46,s47, , , , , , , , ,s9,s10,s11,s12,s13,s14,s15, , , , , , , , , ,32,33,49,34, , ,59,25,26,27,28,29, , , ,30,31,35, , , , , ,52, , , , , , 
 , , , , , , , ,s132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,r50, , , , , , , , , , , , , , , , , , , , , , , , ,s118,s119,s120,s121,s122,s123,s124,s125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,133, ,134, , , , , , , 
 , , , , , , , ,r58, , , , , , , , , , , , , , , , , , , , , , , , ,r58,r58,r58,r58,r58,r58,r58,r58, , , , , , , , ,s127,s128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,135, , , 
 , , , , , , , ,r69, , , , , , , , , , , , , , , , , , , , , , , , ,r69,r69,r69,r69,r69,r69,r69,r69, , , , , , , ,s136,r69,r69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,r71, , , , , , , , , , , , , , , , , , , , , , , , ,r71,r71,r71,r71,r71,r71,r71,r71, , , , , , , ,r71,r71,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
s88, , , ,s86, ,s87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137, ,82, , ,83,84, ,85, , 
 , , , , , , , ,r75, , , , , , , , , , , , , , , , , , , , , , , , ,r75,r75,r75,r75,r75,r75,r75,r75, , , , , , , ,r75,r75,r75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,r76, , , , , , , , , , , , , , , , , , , , , , , , ,r76,r76,r76,r76,r76,r76,r76,r76, , , , , , , ,r76,r76,r76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,s138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
